ISSUE_DATE,ID,PURPOSE,VERIFICATION_STATUS,GRADE,HOME_OWNERSHIP,ADDRESS_STATE,LOAN_STATUS,EMP_LENGTH,EMP_TITLE,LAST_CREDIT_PULL_DATE,LAST_PAYMENT_DATE,NEXT_PAYMENT_DATE,MEMBER_ID,SUB_GRADE,TERM,ANNUAL_INCOME,DTI,INSTALLMENT,INT_RATE,LOAN_AMOUNT,TOTAL_ACC,TOTAL_PAYMENT
01-01-2021,1072053,car,Source Verified,E,RENT,CA,Fully Paid,9 years,MKC Accounting,14-12-2021,15-01-2021,15-02-2021,1288686,E1, 36 months,48000,0.0535,109.43,0.1864,3000,4,3939
01-01-2021,1068350,car,Verified,A,MORTGAGE,IL,Fully Paid,10+ years,J&J Steel Inc,14-12-2021,15-01-2021,15-02-2021,1302971,A1, 36 months,83000,0.0231,106.53,0.0603,3500,28,3835
05-01-2021,1069243,car,Not Verified,C,RENT,CA,Charged Off,4 years,Chemat Technology Inc,12-12-2021,09-01-2021,09-02-2021,1304116,C5, 36 months,50000,0.2088,421.65,0.1596,12000,11,3522
08-01-2021,207910,car,Not Verified,A,MORTGAGE,FL,Charged Off,< 1 year,,16-05-2021,10-02-2021,10-03-2021,183496,A2, 36 months,120000,0.0767,69.14,0.0743,2225,20,2508
08-01-2021,211723,car,Not Verified,C,OWN,MD,Charged Off,4 years,self employed,09-12-2021,08-08-2021,08-09-2021,211606,C2, 36 months,72000,0.0512,262.26,0.1109,8000,8,2135
08-01-2021,226154,car,Not Verified,E,MORTGAGE,MN,Fully Paid,10+ years,Ramsey County,11-01-2021,11-02-2021,11-03-2021,225530,E1, 36 months,72000,0.2257,170.72,0.1393,5000,44,6146
08-01-2021,196380,car,Not Verified,A,RENT,CA,Fully Paid,10+ years,Comerica Bank,10-02-2021,10-02-2021,10-03-2021,188466,A4, 36 months,62000,0.1407,345.06,0.0807,11000,23,12247
08-01-2021,206181,car,Not Verified,A,RENT,MA,Fully Paid,< 1 year,Lexington Alarm Systems,16-04-2021,10-04-2021,10-05-2021,167318,A1, 36 months,28800,0,108.27,0.0712,3500,5,3863
08-01-2021,219000,car,Not Verified,B,RENT,WA,Fully Paid,3 years,Evergreen Treatment Services,11-01-2021,11-01-2021,11-02-2021,218997,B1, 36 months,37000,0.1674,175.42,0.092,5500,36,6320
08-01-2021,222179,credit card,Not Verified,B,MORTGAGE,CO,Charged Off,4 years,"State of Colorado, WRRC",16-05-2021,09-09-2021,09-10-2021,222065,B1, 36 months,62000,0.1312,306.18,0.092,9600,51,5861
08-01-2021,196910,credit card,Not Verified,B,MORTGAGE,MD,Charged Off,4 years,Fannie Mae,16-05-2021,10-03-2021,10-04-2021,196900,B4, 36 months,112000,0.1036,288.89,0.0964,9000,16,7510
08-01-2021,228892,credit card,Not Verified,D,RENT,MN,Charged Off,3 years,Chopsticks Asian Cuisine,09-11-2021,08-12-2021,08-01-2022,228788,D1, 36 months,95000,0.1607,767.89,0.1236,23000,20,9229
08-01-2021,227773,credit card,Not Verified,A,MORTGAGE,TX,Fully Paid,< 1 year,Retired partially,15-04-2021,11-02-2021,11-03-2021,227373,A3, 36 months,60000,0.092,305.97,0.0775,9800,34,11015
08-01-2021,204576,credit card,Not Verified,A,MORTGAGE,TX,Fully Paid,4 years,The University of Texas,07-12-2021,08-05-2021,08-06-2021,204491,A5, 36 months,107000,0.0816,362.39,0.0838,11500,32,11809
08-01-2021,223992,credit card,Not Verified,A,MORTGAGE,FL,Fully Paid,3 years,shweta investments,10-09-2021,10-09-2021,10-10-2021,223916,A5, 36 months,175000,0.1511,226.89,0.0838,7200,43,8145
08-01-2021,210287,credit card,Not Verified,B,MORTGAGE,GA,Fully Paid,2 years,open text corp,15-04-2021,11-01-2021,11-02-2021,210254,B2, 36 months,110000,0.1687,192.23,0.0951,6000,30,6920
08-01-2021,230185,credit card,Not Verified,C,MORTGAGE,PA,Fully Paid,4 years,"Blattner Brunner, Inc.",11-01-2021,11-02-2021,11-03-2021,230155,C1, 36 months,78000,0.1675,261.08,0.1078,8000,34,9399
08-01-2021,230545,credit card,Not Verified,C,MORTGAGE,NC,Fully Paid,< 1 year,"Advantec, Inc.",11-01-2021,10-12-2021,10-01-2022,230528,C1, 36 months,107000,0.1637,81.59,0.1078,2500,46,2959
08-01-2021,221301,credit card,Not Verified,D,MORTGAGE,VA,Fully Paid,9 years,"Eastern Vinyl & Liner, Inc.",09-01-2021,09-01-2021,09-02-2021,220027,D2, 36 months,90000,0.1304,737.78,0.1267,22000,37,24252
08-01-2021,203367,credit card,Not Verified,F,MORTGAGE,NJ,Fully Paid,< 1 year,Info Technologies,11-01-2021,11-01-2021,11-02-2021,203345,F2, 36 months,120000,0.1808,876.83,0.1583,25000,30,31566
08-01-2021,235704,credit card,Not Verified,E,MORTGAGE,OH,Fully Paid,3 years,Kaiser Permanente,11-01-2021,11-01-2021,11-02-2021,235682,E4, 36 months,65000,0.2389,346.07,0.1488,10000,26,12454
